time,Direction,Lead_hours,Source_time,Speed
2022-03-03 21:00:00+00:00,W,2,1646330400,8.04672
2022-03-04 00:00:00+00:00,WNW,5,1646330400,4.91744
2022-03-04 03:00:00+00:00,WNW,8,1646330400,1.78816
2022-03-04 06:00:00+00:00,NNW,11,1646330400,3.12928
2022-03-04 09:00:00+00:00,NNW,14,1646330400,4.02336
2022-03-04 12:00:00+00:00,ENE,17,1646330400,3.12928
2022-03-04 15:00:00+00:00,NW,20,1646330400,4.91744
2022-03-04 18:00:00+00:00,NNW,23,1646330400,4.91744
2022-03-04 21:00:00+00:00,NW,26,1646330400,7.15264
2022-03-05 00:00:00+00:00,NW,29,1646330400,7.15264
2022-03-05 03:00:00+00:00,NW,32,1646330400,7.15264
2022-03-05 06:00:00+00:00,NW,35,1646330400,8.04672
2022-03-05 09:00:00+00:00,NW,38,1646330400,7.15264
2022-03-05 12:00:00+00:00,NW,41,1646330400,5.81152
2022-03-05 15:00:00+00:00,NW,44,1646330400,7.15264
2022-03-05 18:00:00+00:00,NNW,47,1646330400,5.81152
2022-03-05 21:00:00+00:00,NNW,50,1646330400,4.91744
2022-03-06 00:00:00+00:00,NW,53,1646330400,4.02336
2022-03-06 03:00:00+00:00,W,56,1646330400,4.02336
2022-03-06 06:00:00+00:00,W,59,1646330400,4.02336
2022-03-06 09:00:00+00:00,SW,62,1646330400,5.81152
2022-03-06 12:00:00+00:00,SSW,65,1646330400,7.15264
2022-03-06 15:00:00+00:00,SSW,68,1646330400,7.15264
2022-03-06 18:00:00+00:00,SSW,71,1646330400,7.15264
2022-03-06 21:00:00+00:00,SSW,74,1646330400,8.04672
2022-03-07 00:00:00+00:00,SSW,77,1646330400,8.04672
2022-03-07 03:00:00+00:00,SSW,80,1646330400,8.04672
2022-03-07 06:00:00+00:00,SSW,83,1646330400,8.04672
2022-03-07 09:00:00+00:00,SSW,86,1646330400,8.9408
2022-03-07 12:00:00+00:00,SSW,89,1646330400,8.9408
2022-03-07 15:00:00+00:00,SSW,92,1646330400,8.9408
2022-03-07 18:00:00+00:00,S,95,1646330400,8.9408
2022-03-07 21:00:00+00:00,S,98,1646330400,8.9408
